"User_ID sorted by SD","Ensembl_gene_id","symbol","cng_1","cng_2","cng_3","cng_4","wt_1","wt_2","wt_3","treatment30_1","treatment30_2","treatment30_3","treatment30_4"
" ENSMUSG00000106680","ENSMUSG00000106680","  Gm43852",2,9,0,8,4,4,5,8,16,7,4
" ENSMUSG00000020483","ENSMUSG00000020483","  Dynll2",6638,6922,3444,4832,4607,4654,4700,5397,8675,6679,5399
" ENSMUSG00000091443","ENSMUSG00000091443","  Gm17023",68,77,41,72,55,45,70,78,99,53,102
" ENSMUSG00000029169","ENSMUSG00000029169","  Dhx15",3608,3551,2004,2379,2444,2477,1956,3207,4217,3362,3234
" ENSMUSG00000070923","ENSMUSG00000070923","  Klhl9",3185,3677,1985,2374,2635,2370,1976,2740,4335,3618,3096
" ENSMUSG00000032002","ENSMUSG00000032002","  Dcun1d5",553,466,264,353,408,425,443,517,718,525,528
" ENSMUSG00000025268","ENSMUSG00000025268","  Maged2",1098,1135,585,984,785,874,870,1147,1605,1063,1110
" ENSMUSG00000022456","ENSMUSG00000022456","  Sept3",5209,4539,2349,3804,4023,4848,5121,4655,6421,5189,4461
" ENSMUSG00000091993","ENSMUSG00000091993","  B930036N10Rik",65,82,72,119,112,91,120,86,157,143,88
" ENSMUSG00000031258","ENSMUSG00000031258","  Xkrx",231,149,118,135,92,164,140,160,226,196,167
" ENSMUSG00000022570","ENSMUSG00000022570","  Tsta3",552,518,340,457,362,423,471,620,786,644,647
" ENSMUSG00000047161","ENSMUSG00000047161","  Chst9",270,434,304,316,348,287,229,445,538,385,461
" ENSMUSG00000051285","ENSMUSG00000051285","  Pcmtd1",1787,1515,767,974,1262,1348,1212,1337,1769,1486,1675
" ENSMUSG00000039318","ENSMUSG00000039318","  Rab3gap2",2917,2484,1489,2178,2146,2064,1679,2817,3512,2850,2751
" ENSMUSG00000014778","ENSMUSG00000014778","  Fhod1",395,234,173,242,290,276,219,414,337,233,318
" ENSMUSG00000021713","ENSMUSG00000021713","  Ppwd1",448,207,223,266,214,280,329,342,422,326,354
" ENSMUSG00000024120","ENSMUSG00000024120","  Lrpprc",1590,1338,878,1280,1313,1012,939,1521,1948,1760,1518
" ENSMUSG00000023353","ENSMUSG00000023353","  Agap3",4002,3442,1894,2803,2747,3022,3221,3856,5046,3973,3373
" ENSMUSG00000116946","ENSMUSG00000116946","  Gm41442",142,64,49,79,77,115,97,73,97,83,93
" ENSMUSG00000118021","ENSMUSG00000118021","  ",19,31,18,22,15,27,14,12,24,20,43
" ENSMUSG00000024854","ENSMUSG00000024854","  Pold4",75,70,45,46,103,83,108,95,75,81,95
" ENSMUSG00000052241","ENSMUSG00000052241","  A930035D04Rik",41,51,37,48,31,29,24,51,67,54,30
" ENSMUSG00000034285","ENSMUSG00000034285","  Nipsnap1",610,586,267,576,409,480,513,597,695,547,595
" ENSMUSG00000088008","ENSMUSG00000088008","  Gm25492",0,7,3,2,0,4,0,12,2,7,2
" ENSMUSG00000041037","ENSMUSG00000041037","  Irgq",1186,1101,559,830,754,1059,1211,1073,1402,1132,975
" ENSMUSG00000097392","ENSMUSG00000097392","  D930016D06Rik",1730,1022,667,1089,1028,1279,1250,1513,1457,1296,1401
" ENSMUSG00000027639","ENSMUSG00000027639","  Samhd1",669,566,284,522,463,430,497,637,676,550,693
" ENSMUSG00000033949","ENSMUSG00000033949","  Trim36",7,18,7,12,22,15,26,7,13,13,17
" ENSMUSG00000045034","ENSMUSG00000045034","  Ankrd34b",22,23,39,16,18,24,48,28,26,15,21
" ENSMUSG00000045969","ENSMUSG00000045969","  Ing1",896,883,438,596,639,743,679,784,1131,875,917
" ENSMUSG00000072772","ENSMUSG00000072772","  Grcc10",126,89,55,92,73,116,98,100,164,100,108
" ENSMUSG00000063765","ENSMUSG00000063765","  Chadl",281,282,157,173,214,197,269,283,398,249,280
" ENSMUSG00000045664","ENSMUSG00000045664","  Cdc42ep2",7,15,5,4,8,12,14,11,23,8,6
" ENSMUSG00000032788","ENSMUSG00000032788","  Pdxk",6883,5842,3281,4760,6000,5690,5909,6337,8895,7550,6272
" ENSMUSG00000079260","ENSMUSG00000079260","  Tmppe",112,111,74,90,73,120,106,108,161,128,178
" ENSMUSG00000079434","ENSMUSG00000079434","  Neu2",56,28,27,37,14,38,38,23,29,29,32
" ENSMUSG00000022817","ENSMUSG00000022817","  Itgb5",479,489,309,532,663,649,765,535,798,563,530
" ENSMUSG00000019952","ENSMUSG00000019952","  Poc1b",309,312,174,202,163,174,162,260,278,267,284
" ENSMUSG00000057455","ENSMUSG00000057455","  Rit2",6067,5666,2870,3663,5190,4567,4637,5204,7329,5901,5349
" ENSMUSG00000036450","ENSMUSG00000036450","  Hif1an",2018,2007,1218,1497,1330,1410,1181,1885,2656,1913,1978
" ENSMUSG00000033294","ENSMUSG00000033294","  Noc4l",266,304,159,199,165,208,196,291,347,259,305
" ENSMUSG00000020801","ENSMUSG00000020801","  Med31",170,134,82,137,128,160,132,180,247,149,173
" ENSMUSG00000105636","ENSMUSG00000105636","  Gm43625",77,41,59,65,47,52,62,101,80,45,90
" ENSMUSG00000038957","ENSMUSG00000038957","  Edc3",1340,1025,653,929,791,866,738,1248,1389,1058,1283
" ENSMUSG00000030752","ENSMUSG00000030752","  Kdm8",359,291,166,279,184,243,177,315,322,276,306
" ENSMUSG00000013629","ENSMUSG00000013629","  Cad",1625,1629,855,1206,1436,1315,1239,1568,2303,1814,1654
